timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2025-01-07 17:46:02.392925,9.4499998093,0.3899999857,-2.25,-0.125,-0.25,-0.625,1.375,-5.25,70.375
2025-01-07 17:46:02.473786,9.5699996948,0.3599999845,-2.1599998474,0.125,0.0625,-0.4375,1.75,-5.5625,72.75
2025-01-07 17:46:02.553734,9.4799995422,0.3799999952,-2.1699998379,0.0,-0.125,-0.3125,1.75,-5.5625,71.5625
2025-01-07 17:46:02.634969,9.5500001907,0.4199999869,-2.2200000286,-0.125,-0.375,-0.6875,2.75,-5.5625,72.0
2025-01-07 17:46:02.715675,9.6199998856,0.3799999952,-2.2000000477,0.1875,-0.1875,0.0625,1.75,-5.25,71.875
2025-01-07 17:46:02.794275,9.4499998093,0.3599999845,-2.1199998856,-0.125,0.1875,0.1875,1.75,-5.5625,71.5625
2025-01-07 17:46:02.874033,9.5699996948,0.4099999964,-2.2000000477,0.1875,-0.125,-0.0625,2.75,-5.25,71.1875
2025-01-07 17:46:02.955848,9.5,0.4099999964,-2.2100000381,-0.125,-0.125,-0.3125,1.75,-5.25,72.75
2025-01-07 17:46:03.035083,9.7199993134,0.3899999857,-2.25,0.0625,-0.25,-0.625,1.375,-5.875,72.375
2025-01-07 17:46:03.113076,9.5,0.3700000048,-2.2000000477,0.0,0.1875,-0.0625,2.75,-4.875,72.0
2025-01-07 17:46:03.195464,9.5,0.4499999881,-2.1099998951,0.25,-0.25,-0.25,2.1875,-5.875,72.75
2025-01-07 17:46:03.274580,9.5500001907,0.3599999845,-2.1900000572,-0.0625,0.0625,-0.25,1.75,-5.875,71.5625
2025-01-07 17:46:03.359508,9.6399993896,0.4099999964,-2.2000000477,0.125,-0.1875,0.625,2.1875,-5.25,71.875
2025-01-07 17:46:03.438249,9.4699993134,0.4399999976,-2.2300000191,-0.125,0.1875,0.1875,2.1875,-4.875,71.5625
2025-01-07 17:46:03.517519,9.6499996185,0.2800000012,-2.1599998474,-0.125,0.375,0.125,1.375,-6.6875,71.1875
2025-01-07 17:46:03.599221,9.3999996185,0.5399999619,-2.1900000572,0.0,0.0625,-0.0625,1.0,-5.875,72.75
2025-01-07 17:46:03.677903,9.5699996948,0.25,-2.0399999619,0.0625,0.375,0.0625,2.1875,-5.25,71.875
2025-01-07 17:46:03.755578,9.4099998474,0.3999999762,-2.2000000477,0.25,0.0625,0.375,2.5,-5.5625,70.75
2025-01-07 17:46:03.838712,9.5,0.3899999857,-2.0699999332,-0.0625,-0.0625,-0.25,1.75,-5.875,71.5625
2025-01-07 17:46:03.917275,9.4799995422,0.3899999857,-2.25,0.0625,0.0625,0.25,1.75,-5.875,71.875
2025-01-07 17:46:03.997955,9.5199995041,0.4699999988,-2.129999876,0.0625,-0.25,-0.1875,2.1875,-6.25,72.75
2025-01-07 17:46:04.080224,9.529999733,0.3100000024,-2.2000000477,0.0625,0.0625,0.1875,1.75,-4.875,72.75
2025-01-07 17:46:04.158528,9.4799995422,0.4599999785,-2.1099998951,0.0625,-0.1875,-0.0625,1.75,-5.875,73.0625
2025-01-07 17:46:04.240572,9.5399999619,0.4099999964,-2.25,0.0,-0.125,0.0,2.5,-6.25,72.0
